               #####        0.0000000000        0.2666666806        0.5333333611        0.8000000119        1.0666667223        1.3333333731        1.6000000238        1.8666666746        2.1333334446        2.4000000954        2.6666667461        2.9333333969        3.2000000477        3.4666666985        3.7333333492        4.0000000000
        0.0009999999        0.0000001984        0.0000001505        0.0000001148        0.0000000889        0.0000000701        0.0000000564        0.0000000462        0.0000000384        0.0000000324        0.0000000277        0.0000000239        0.0000000208        0.0000000183        0.0000000162        0.0000000145        0.0000000130
        0.0010843660        0.0000002728        0.0000002069        0.0000001578        0.0000001222        0.0000000964        0.0000000776        0.0000000635        0.0000000528        0.0000000446        0.0000000381        0.0000000329        0.0000000287        0.0000000252        0.0000000223        0.0000000199        0.0000000179
        0.0011758497        0.0000003749        0.0000002843        0.0000002168        0.0000001679        0.0000001325        0.0000001066        0.0000000873        0.0000000726        0.0000000613        0.0000000523        0.0000000452        0.0000000394        0.0000000346        0.0000000307        0.0000000274        0.0000000245
        0.0012750509        0.0000005150        0.0000003906        0.0000002978        0.0000002306        0.0000001820        0.0000001464        0.0000001199        0.0000000998        0.0000000842        0.0000000719        0.0000000621        0.0000000541        0.0000000476        0.0000000421        0.0000000376        0.0000000337
        0.0013826219        0.0000007072        0.0000005363        0.0000004090        0.0000003167        0.0000002499        0.0000002011        0.0000001646        0.0000001370        0.0000001156        0.0000000987        0.0000000852        0.0000000743        0.0000000653        0.0000000579        0.0000000516        0.0000000463
        0.0014992683        0.0000009705        0.0000007361        0.0000005613        0.0000004346        0.0000003430        0.0000002760        0.0000002260        0.0000001880        0.0000001586        0.0000001355        0.0000001170        0.0000001020        0.0000000897        0.0000000794        0.0000000708        0.0000000635
        0.0016257558        0.0000013312        0.0000010096        0.0000007698        0.0000005962        0.0000004705        0.0000003785        0.0000003099        0.0000002578        0.0000002175        0.0000001858        0.0000001604        0.0000001399        0.0000001230        0.0000001089        0.0000000971        0.0000000872
        0.0017629144        0.0000018247        0.0000013839        0.0000010553        0.0000008172        0.0000006450        0.0000005188        0.0000004249        0.0000003534        0.0000002982        0.0000002547        0.0000002199        0.0000001917        0.0000001686        0.0000001493        0.0000001332        0.0000001195
        0.0019116437        0.0000024994        0.0000018957        0.0000014455        0.0000011194        0.0000008835        0.0000007107        0.0000005820        0.0000004841        0.0000004085        0.0000003489        0.0000003013        0.0000002626        0.0000002309        0.0000002045        0.0000001824        0.0000001637
        0.0020729215        0.0000034209        0.0000025946        0.0000019784        0.0000015321        0.0000012092        0.0000009728        0.0000007965        0.0000006627        0.0000005591        0.0000004775        0.0000004123        0.0000003595        0.0000003160        0.0000002799        0.0000002497        0.0000002240
        0.0022478057        0.0000046781        0.0000035481        0.0000027055        0.0000020951        0.0000016536        0.0000013303        0.0000010893        0.0000009062        0.0000007645        0.0000006530        0.0000005639        0.0000004916        0.0000004322        0.0000003828        0.0000003414        0.0000003063
        0.0024374432        0.0000063911        0.0000048474        0.0000036963        0.0000028624        0.0000022591        0.0000018174        0.0000014882        0.0000012381        0.0000010445        0.0000008922        0.0000007704        0.0000006716        0.0000005904        0.0000005230        0.0000004664        0.0000004185
        0.0026430807        0.0000087222        0.0000066155        0.0000050445        0.0000039065        0.0000030832        0.0000024803        0.0000020310        0.0000016897        0.0000014255        0.0000012176        0.0000010514        0.0000009165        0.0000008058        0.0000007138        0.0000006366        0.0000005712
        0.0028660672        0.0000118897        0.0000090180        0.0000068765        0.0000053252        0.0000042030        0.0000033812        0.0000027686        0.0000023033        0.0000019433        0.0000016599        0.0000014332        0.0000012494        0.0000010985        0.0000009731        0.0000008678        0.0000007786
        0.0031078660        0.0000161870        0.0000122775        0.0000093621        0.0000072501        0.0000057222        0.0000046034        0.0000037694        0.0000031359        0.0000026458        0.0000022599        0.0000019513        0.0000017011        0.0000014956        0.0000013248        0.0000011815        0.0000010601
        0.0033700645        0.0000220072        0.0000166922        0.0000127286        0.0000098573        0.0000077800        0.0000062588        0.0000051250        0.0000042637        0.0000035972        0.0000030726        0.0000026530        0.0000023128        0.0000020334        0.0000018012        0.0000016064        0.0000014414
        0.0036543836        0.0000298756        0.0000226607        0.0000172800        0.0000133820        0.0000105620        0.0000084969        0.0000069577        0.0000057884        0.0000048836        0.0000041713        0.0000036018        0.0000031399        0.0000027605        0.0000024454        0.0000021809        0.0000019568
        0.0039626877        0.0000404918        0.0000307136        0.0000234211        0.0000181380        0.0000143159        0.0000115168        0.0000094305        0.0000078457        0.0000066194        0.0000056539        0.0000048820        0.0000042559        0.0000037417        0.0000033146        0.0000029560        0.0000026523
        0.0042970041        0.0000547850        0.0000415560        0.0000316896        0.0000245417        0.0000193703        0.0000155831        0.0000127603        0.0000106159        0.0000089565        0.0000076503        0.0000066057        0.0000057587        0.0000050629        0.0000044849        0.0000039998        0.0000035888
        0.0046595256        0.0000739850        0.0000561212        0.0000427974        0.0000331444        0.0000261605        0.0000210458        0.0000172335        0.0000143375        0.0000120964        0.0000103323        0.0000089216        0.0000077775        0.0000068379        0.0000060572        0.0000054020        0.0000048470
        0.0050526289        0.0000997130        0.0000756392        0.0000576828        0.0000446730        0.0000352603        0.0000283667        0.0000232284        0.0000193250        0.0000163045        0.0000139266        0.0000120252        0.0000104832        0.0000092166        0.0000081644        0.0000072813        0.0000065332
        0.0054788995        0.0001340987        0.0001017265        0.0000775790        0.0000600829        0.0000474238        0.0000381526        0.0000312419        0.0000259920        0.0000219295        0.0000187313        0.0000161739        0.0000140999        0.0000123964        0.0000109813        0.0000097935        0.0000087872
